date,balance,count,wac,maturity,age,ols,als,invest,owner,second,broker,corres,retail,dti,cs,mod,purchase,cashout,refi,caliber,carrington,freedom,lakeview,loandepot,nationstar,newrez,pennymac,quicken,truist,usb,wfs,ltv,AZ,CA,CO,FL,GA,MD,MN,NV,NY,TX,VA,WA,single,coop,condo,MH,PUD,cpr,incentive,cashbond,sato
2020-11-01,3606930004.67712,12987,4.74686630089338,327.688831136633,27.5204781438945,324018.358025403,308686.226436359,1.7977821435570702,91.07365246638491,7.12856539005801,11.455692729354599,35.1911435955638,53.3531636750816,38.214935712615706,747.6396483590249,0,74.3119990439247,15.7162930880025,0.0,0.8749850223783,0.12560755771875698,3.5083975605252404,3.1422070227893997,0.9245648449358441,1.15260469735076,0.0,12.937898827197301,7.603601865206,1.15078152726804,0.0399001034902624,8.24086381785847,65.5700534141705,2.38546906070157,17.6560650517281,3.8541661377751,8.29196183736463,3.50407454108894,2.65394672257024,2.25696630318845,1.6554414457008202,0.648152656639375,6.9926522664329,4.72825194837466,5.29059841907771,56.589639061403204,0.13621942976447698,9.25997810433733,0.29379491186088597,33.7203684926341,,1.91686637726532,0,0.174276205480478
2020-10-01,3928079233.76035,14069,4.745693257546809,328.921761993845,26.5181251000186,324957.26149729,310150.301782925,1.7577999376100502,91.2045456587838,7.03765440360618,11.319944151375699,35.45130733022079,53.2287485184035,38.1177703890138,748.1881846072391,0,74.47601800075641,15.602637835531,0.0,0.8564178441987091,0.136558966135974,3.6630297567203796,3.0925002804493795,0.9089426010486651,1.1314515558516898,0.0,12.9188462231542,7.66881615374578,1.14306598840591,0.0421856463341989,8.302567811129821,65.7458079077593,2.45063200733041,17.6626295639392,3.8807934381578897,8.23628813956627,3.4968765063448597,2.60839897704142,2.32413388197918,1.6423439016602799,0.6205621102857299,6.89824065406021,4.697681843282281,5.312680946583191,56.484873003982294,0.140728642699803,9.23047690902933,0.27993223759958596,33.8639892066889,63.40490552893989,1.8556931523592999,0,0.173125156091996
2020-09-01,4255859834.59796,15141,4.7442890844451,330.071554454062,25.516355884516802,326453.493052811,312179.285169815,1.68536828573152,91.34107187317271,6.97355984109576,11.484674470146802,35.2473944366675,53.267931093185794,38.0319708770757,748.9442267224339,0,75.0034164789812,15.3823416460153,0.0,0.8466265052670021,0.136983616597437,3.68967300182089,3.04118247506504,0.9098730204194581,1.13618870566256,0.0,12.8376210480386,7.689921323980111,1.13197847656239,0.0415139174076125,8.2406354568549,65.8971601063684,2.4665165589806004,17.7208778384243,3.96284607103544,8.08654208776832,3.47311429340387,2.63008424337033,2.34669699283569,1.65431959436218,0.596765388238943,6.949461304787,4.62870123448879,5.3765724090885305,56.3240435267764,0.130140531241896,9.1580005118829,0.27642290250288104,34.111392527595896,61.078620468259295,1.80428902530649,0,0.17150024405403197
2020-08-01,4594349619.94655,16268,4.74274069725851,331.248589426511,24.5128521956678,326928.136120628,313242.69732559397,1.6118722454490502,91.47760285557061,6.91052489898039,11.325355759895999,35.540545736358794,53.1340985037451,37.9348824183099,749.533687305975,0,75.28014501057879,15.2207948969311,0.0,0.8462433882225391,0.127058812694209,3.7549821826299303,3.04611885264656,0.8904951374884641,1.163071197469,0.0,12.9530423790304,7.6213887471525705,1.09366636841211,0.0429230774587131,8.21760409371359,66.742313997234,2.49172559331678,17.3881528370805,4.10059018714607,8.061447475293981,3.49785165191763,2.61159037169231,2.39622982341594,1.63019177066445,0.583237728512115,7.0351137988564005,4.6167245979633496,5.3839560939786395,55.9742652388886,0.12081765668599302,9.1247842592446,0.27268717362319,34.507445671557605,59.3577096098155,1.7227407162018897,0,0.169951166994596
2020-07-01,5000127785.1698,17611,4.741577355965,332.28625008179296,23.5138413667493,327927.998013089,314637.759715111,1.55113789064125,91.5627892159102,6.88607289344858,11.300317552971801,35.608918283082204,53.090764163946,37.8634427503081,750.127071357182,0,75.75254068497709,14.9081323058329,0.0,0.8433409284260028,0.122280753304135,3.7908756151350405,3.04480443226722,0.8781288888801659,1.17080396053592,0.0,12.843008592160402,7.56691388184419,1.1185774029480802,0.0395101855493462,8.19607171088101,67.5952860300361,2.52177851613332,17.3683907889624,4.14052913645,7.99497316809767,3.4981285339915096,2.61393754035326,2.47585743403685,1.61923899088225,0.556985411042435,6.954071393926459,4.61673918026967,5.4273983030667905,55.9343335778943,0.117654923401627,9.041412271796089,0.270796324717883,34.6358029021901,63.1286566499315,1.58157726931243,0,0.168652817396703
2020-06-01,5461074521.10031,19123,4.74017949839712,333.383674500507,22.5163422639569,329032.589479773,316214.55138622,1.4962097053298797,91.68786864295099,6.81592165171917,11.199059070739699,35.618764244911794,53.1821766843485,37.753962842797606,750.747979606487,0,76.083887292877,14.722554625885302,0.0,0.8374068521770219,0.11213073701366,3.74757868489066,3.04491490293052,0.8750168762385949,1.19419671565245,0.0,12.762760001182698,7.50452171777703,1.11232343775678,0.0362376608562333,8.05581464953768,68.42780289169829,2.57900226316286,17.315985217583002,4.20006826467696,7.86448708524857,3.5661864397323195,2.55222501192996,2.5330662540182596,1.63874047892845,0.5371316036616479,6.86939825519178,4.675039152288121,5.48811811316272,55.8582628410194,0.107955256731113,8.945492576368869,0.261457745880991,34.8268315799996,64.669011492704,1.51017947951334,0,0.167145266350485
2020-05-01,5939435298.374021,20676,4.738309759219769,334.492853024421,21.5166551324539,330044.35582749,317658.524109862,1.4073656577289,91.94579099250629,6.64684334976476,11.053063825882402,35.6296790790743,53.317257095043296,37.637756959924396,751.488886016206,0,76.39766603607708,14.498617888772198,0.0,0.8148020571811301,0.10697898468335001,3.76928222647657,3.01431118537291,0.853672230274556,1.2568336445290702,0.0,12.676517171331598,7.45863835267227,1.0889744808034398,0.0333739493626423,7.92312622216875,69.0431409564444,2.6630247510181,17.128380492341698,4.3406419412194,7.7025889963237795,3.57033599914067,2.53541329835799,2.57031773432672,1.6168193998969298,0.513338108897162,6.846685315813461,4.6425051544965195,5.4837838834496795,55.87208093288321,0.0994531911648795,8.78629414151577,0.258444789373785,34.9837269450623,62.8410194642943,1.42830981851973,0,0.165101814747148
2020-04-01,6443715955.3999,22303,4.73755273034255,335.587474151086,20.516840074414198,330999.047771798,319099.730266795,1.32131408766009,92.19379116960471,6.48489474273517,10.898117996461101,35.7125989557556,53.389283047783394,37.5251708123629,752.0976263629719,0,76.689900548041,14.272247009149599,0.0,0.7909623122374371,0.102262616671564,3.82296706932261,2.96511571849042,0.817248990219601,1.33118098690485,0.0,12.6295864446049,7.47084012857161,1.11168386771895,0.0308127353575757,7.81752576150388,69.66991981224301,2.66164337817265,16.9347904924658,4.48395369952055,7.61905229811632,3.61163203811925,2.56519721924409,2.6449295539316497,1.57648432863682,0.50891995074558,6.77597114183336,4.55889136847853,5.458153668943191,55.9900931361358,0.0918722801923436,8.6075896752478,0.24447393640425197,35.0659709720198,61.7242440807881,1.28755268356225,0,0.164267097357323
2020-03-01,6829594168.64062,23527,4.73698155285674,336.720145292548,19.516908449299,331776.697728575,320351.03431370103,1.28513296800558,92.268244636467,6.446622395527379,10.9340588212576,35.7704323661422,53.295508812600204,37.4990111938431,752.483683119979,0,76.8915029536246,14.152694991617901,0.0,0.7979368583665699,0.096623888708507,3.87681298228425,2.9892365515412798,0.825065393929047,1.3768001736729198,0.0,12.6010796342532,7.47027098038186,1.11747368062597,0.0291186241285049,7.79296767443735,70.23049640827111,2.7031632414289506,17.0253877981939,4.497132234189519,7.483370645354429,3.5841454008920097,2.58132269257556,2.7567294151577206,1.56250867178617,0.486409853298423,6.7002206197345195,4.5469954530887,5.40193146180467,55.9473618704926,0.0883924864713314,8.591411746781711,0.234044465673852,35.1387894305805,49.36322756603521,1.2669815244596698,0,0.163710145238772
2020-02-01,7121638161.355471,24423,4.73675128209456,337.86604767041,18.516789313338002,332644.94286978804,321734.16614124,1.27360894185649,92.3875018489533,6.33888920919022,10.9975534580956,35.691170236938,53.3112763049663,37.4986637163386,752.671358645139,0,76.9576614883434,14.127573582534401,0.0,0.8068210417501579,0.102353711593059,3.8873510548971004,2.90275409290931,0.815271949815325,1.4019386510048,0.0,12.5865905609413,7.527794790157349,1.1014657942268602,0.0299781410133087,7.70202453682271,70.769683871071,2.77197871258794,17.1456974358367,4.577379357329179,7.3584934289195,3.5648360095862697,2.5869169107969703,2.76800116653628,1.5525627061500702,0.497976003965675,6.60024507869849,4.51375133675492,5.43886214484476,55.993301082354094,0.0849856686814322,8.6049984117236,0.227973817688982,35.0887410195519,38.4405614109927,1.1167513976169299,0,0.16346821910047502
